Symbol,Last,ChgPct,Volume,Session,SessionDate,Direction,Name
AAOI,140.87,13.4,1264215,pre,2026-08-07,up,Applied Optoelect
ABNB,163.53,7.84,1447272,post,2026-08-06,up,Airbnb Inc Cl A
AG,18.24,5.56,128335,pre,2026-08-07,up,First Majestic Silver
AGIO,30.54,-4.41,155869,post,2026-08-06,down,Agios Pharmaceuticals
AKAM,133.24,12.39,674098,post,2026-08-06,up,Akamai Technologies
ARDX,3.74,-23.2,2871672,post,2026-08-06,down,Ardelyx Inc
AU,94.19,7.54,123029,pre,2026-08-07,up,Anglogold Ashanti Ltd ADR
AXTI,79.2,5.36,439022,pre,2026-08-07,up,Axt Inc
BE,239,4.39,102105,pre,2026-08-07,up,Bloom Energy Corp Cl A
CARG,38.31,5.31,178939,post,2026-08-06,up,Cargurus Inc Cl A
CART,49.5,9.93,412592,post,2026-08-06,up,Maplebear Inc [Instacart]
CDE,16.46,5.18,212110,pre,2026-08-07,up,Coeur Mining Inc
CLRO,13.01,32.76,657418,pre,2026-08-07,up,Clearone Inc
CLRO,13.39,36.63,6204008,post,2026-08-06,up,Clearone Inc
COHR,352.24,5.39,170978,pre,2026-08-07,up,Coherent Corp
CRML,6.92,5.65,127800,pre,2026-08-07,up,Critical Metals Corp
CRSR,12.92,21.82,721891,post,2026-08-06,up,Corsair Gaming Inc
CVRX,3.39,-42.93,302422,post,2026-08-06,down,Cvrx Inc
DBX,32.3,-6.49,173935,post,2026-08-06,down,Dropbox Inc
DOCS,41.03,98.6,933501,pre,2026-08-07,up,Doximity Inc Cl A
DOCS,35.84,73.47,7935916,post,2026-08-06,up,Doximity Inc Cl A
DSY,6.06,75.65,9209914,pre,2026-08-07,up,Big Tree Cloud Holdings Limited
DSY,6.5,88.41,6813584,post,2026-08-06,up,Big Tree Cloud Holdings Limited
DV,13.49,15.2,1740601,post,2026-08-06,up,Doubleverify Holdings Inc
EQX,11.32,5.36,103563,pre,2026-08-07,up,Equinox Gold Corp
FIGS,14,24.56,660780,post,2026-08-06,up,Figs Inc Cl A
FNKO,6.15,16.48,426538,post,2026-08-06,up,Funko Inc Cl A
FROG,96.49,16.2,154701,post,2026-08-06,up,Jfrog Ltd
FSLR,263,7.73,199655,post,2026-08-06,up,First Solar Inc
G,34.67,-4.12,116311,post,2026-08-06,down,Genpact Ltd
GFI,40.18,7.61,108483,pre,2026-08-07,up,Gold Fields Ltd ADR
GLW,164.64,4.75,219824,pre,2026-08-07,up,Corning Inc
GRPN,27.58,9.66,126668,post,2026-08-06,up,Groupon Cl A
HALO,90.7,5.76,149445,post,2026-08-06,up,Halozyme Therapeutic
HL,16.7,5.3,112467,pre,2026-08-07,up,Hecla Mining Company
HMY,19.52,8.14,176446,pre,2026-08-07,up,Harmony Gold Mining ADR
HTZ,2.43,20.32,6049957,pre,2026-08-07,up,Hertz Global Holdings Inc
HTZ,2.57,27.23,27761922,post,2026-08-06,up,Hertz Global Holdings Inc
INDI,4.09,19.3,1304922,post,2026-08-06,up,Indie Semiconductor Cl A
INOD,73.5,12.25,604079,post,2026-08-06,up,Innodata Inc
JHX,29.7,6.07,617418,post,2026-08-06,up,James Hardie Industries Se ADR
KRMN,58,5.19,488717,post,2026-08-06,up,Karman Holdings Inc
LASR,65.61,-13.03,147844,post,2026-08-06,down,Nlight Inc
LBGJ,3.9,-5.34,185941,post,2026-08-06,down,Li Bang International Corporation Inc
LUMN,6.22,5.42,417971,post,2026-08-06,up,Lumen Technologies Inc
MB,15.06,301.52,9958153,pre,2026-08-07,up,Masterbeef Group
MCHP,80.57,8.35,1882408,post,2026-08-06,up,Microchip Technology
MP,50.94,7.26,179786,pre,2026-08-07,up,MP Materials Corp
MRVI,5.8,-7.2,110543,post,2026-08-06,down,Maravai Lifesciences Holdings Inc Cl A
NAMI,7.06,142.61,9493144,pre,2026-08-07,up,Jinxin Technology Holding ADR
NAMI,7.06,142.56,9608532,post,2026-08-06,up,Jinxin Technology Holding ADR
NET,330.4,16.16,739646,post,2026-08-06,up,Cloudflare Inc Cl A
NTRA,306.21,15.39,138929,post,2026-08-06,up,Natera Inc
OGG,2.8,6.06,116671,pre,2026-08-07,up,Osisko Gold Group Inc
OMDA,20.73,6.09,226879,post,2026-08-06,up,Omada Health Inc
ORGO,2.07,-14.11,347943,pre,2026-08-07,down,Organogenesis Holdings Inc
OUST,42.2,-7.42,307153,post,2026-08-06,down,Ouster Inc
PAVS,5.69,-17.3,127368,pre,2026-08-07,down,Paranovus Entertainment Technology Ltd
PAVS,7.21,4.79,420785,post,2026-08-06,up,Paranovus Entertainment Technology Ltd
POET,9.02,5.74,634844,pre,2026-08-07,up,Poet Technologies Inc
PSIX,37.5,13.57,103509,post,2026-08-06,up,Power Solutions International
PUBM,16.93,25.59,142535,post,2026-08-06,up,Pubmatic Inc Cl A
QDEL,12.56,-23.04,313430,post,2026-08-06,down,Quidelortho Corp
RCAT,8.13,-6.23,108448,pre,2026-08-07,down,Red Cat Holdings Inc
RCAT,8.3,-4.27,998487,post,2026-08-06,down,Red Cat Holdings Inc
RCEL,5.65,18.95,102496,post,2026-08-06,up,Avita Medical Inc
REAL,13.45,5.32,550645,post,2026-08-06,up,The Realreal Inc
SBSW,10.58,6.98,142656,pre,2026-08-07,up,Sibanye Gold Ltd ADR
SERV,4.9,-13.73,117265,pre,2026-08-07,down,Serve Robotics Inc
SERV,4.95,-12.85,1378398,post,2026-08-06,down,Serve Robotics Inc
SEZL,127.9,-28.36,263591,post,2026-08-06,down,Sezzle Inc
SG,4.94,-15.84,2228435,post,2026-08-06,down,Sweetgreen Inc Cl A
SUGP,2.04,4.08,229734,post,2026-08-06,up,Su Group Holdings Limited
TE,6.01,8.29,456767,pre,2026-08-07,up,T1 Energy Inc
TE,6.2,11.71,2366449,post,2026-08-06,up,T1 Energy Inc
TEAM,145.05,31.66,210902,pre,2026-08-07,up,Atlassian Corp
TEAM,146.21,32.71,1859063,post,2026-08-06,up,Atlassian Corp
THRY,2.71,10.16,462458,post,2026-08-06,up,Thryv Holdings Inc
TTD,12.68,-28.24,4544703,pre,2026-08-07,down,Trade Desk Inc
TTD,13.37,-24.32,41241109,post,2026-08-06,down,Trade Desk Inc
TWLO,225,16.46,505798,post,2026-08-06,up,Twilio
TXG,43.28,-5.08,123268,post,2026-08-06,down,10X Genomics Inc
U,42.72,4.68,183697,pre,2026-08-07,up,Unity Software Inc
UMC,18.39,-4.22,140481,pre,2026-08-07,down,United Microelectronics Corp ADR
USAR,18.57,6.66,325900,pre,2026-08-07,up,USA Rare Earth Inc
UUUU,13.76,6.65,177738,pre,2026-08-07,up,Energy Fuels Inc
VATE,10.86,46.53,114654,post,2026-08-06,up,Innovate Corp
VSTM,6.28,6.26,312772,post,2026-08-06,up,Verastem Inc
WYHG,6.48,-34.08,398556,pre,2026-08-07,down,Wing Yip Food Holdings Group ADR
WYHG,6.65,-32.33,1258140,post,2026-08-06,down,Wing Yip Food Holdings Group ADR
XPOF,5.59,-12.17,239924,post,2026-08-06,down,Xponential Fitness Inc Cl A
YXT,7.29,-8.3,127728,post,2026-08-06,down,Yxt.com Group ADR
ZYBT,2.38,13.88,1839033,pre,2026-08-07,up,Zhengye Biotechnology Holding Limited
VST,140.88,0.21,0,headline,2026-08-07,up,Vistra Corp.
EMA,51.13,-0.87,0,headline,2026-08-07,down,Emera Incorporated
PANW,367.27,1.27,0,headline,2026-08-07,up,"Palo Alto Networks, Inc."
NVO,46.92,5.37,0,headline,2026-08-07,up,Novo Nordisk A/S
ALAB,341.9,7.37,0,headline,2026-08-07,up,"Astera Labs, Inc."
TTWO,229.94,-2.12,0,headline,2026-08-07,down,"Take-Two Interactive Software, Inc"
PPL,34.32,-1.8,0,headline,2026-08-07,down,PPL Corporation
PAA,23.5,1.42,0,headline,2026-08-07,up,"Plains All American Pipeline, L.P."
MRVL,216.22,2.7,16456195,headline,2026-08-07,up,"Marvell Technology, Inc."
VRT,282.78,2.77,5052099,headline,2026-08-07,up,Vertiv Holdings Co
CRWV,87.57,2.63,16077068,headline,2026-08-07,up,"CoreWeave, Inc."
SMCI,30.0,2.11,26348349,headline,2026-08-07,up,"Super Micro Computer, Inc."
WDC,461.01,2.1,16109734,headline,2026-08-07,up,Western Digital Corporation
ARM,291.31,1.62,4360900,headline,2026-08-07,up,Arm Holdings plc ADR
AMD,501.67,2.53,23887374,headline,2026-08-07,up,"Advanced Micro Devices, Inc."
AVGO,428.1,1.79,12674099,headline,2026-08-07,up,"Broadcom Inc."
PLTR,159.25,2.14,38397107,headline,2026-08-07,up,"Palantir Technologies Inc."
STX,875.0,2.59,5475828,headline,2026-08-07,up,"Seagate Technology Holdings plc"
