Symbol,Last,ChgPct,Volume,Session,SessionDate,Direction,Name
AAOI,125.9,-4.35,679611,pre,2026-08-05,down,Applied Optoelect
AG,17.46,5.88,290374,pre,2026-08-05,up,First Majestic Silver
ALIT,15.36,-10.59,187904,post,2026-08-04,down,Alight Inc Cl A
ALM,13.83,4.14,100441,pre,2026-08-05,up,Almonty Industries Inc
AMD,472.96,-8.8,2311156,pre,2026-08-05,down,Adv Micro Devices
AMD,472.94,-8.8,8854731,post,2026-08-04,down,Adv Micro Devices
AMIX,13.06,-33.04,3005295,pre,2026-08-05,down,Autonomix Medical Inc
AMIX,14.67,-24.79,5382321,post,2026-08-04,down,Autonomix Medical Inc
AMPX,11.94,10.41,1149803,post,2026-08-04,up,Amprius Technologies Inc
ANET,208.5,9.44,336549,pre,2026-08-05,up,Arista Networks Inc
ANET,211.5,11.02,1542417,post,2026-08-04,up,Arista Networks Inc
APPS,11.9,25.13,370662,pre,2026-08-05,up,Digital Turbine
APPS,12.42,30.6,2132906,post,2026-08-04,up,Digital Turbine
AROC,31.61,-11.56,328735,post,2026-08-04,down,Archrock Inc
AZN,163.79,5.25,553872,pre,2026-08-05,up,Astrazeneca Plc
BBBY,5.02,-9.71,552691,post,2026-08-04,down,Bed Bath & Beyond Inc
BCRX,9.7,7.53,159560,pre,2026-08-05,up,Biocryst Pharma Inc
BKNG,205,5.52,894727,post,2026-08-04,up,Booking Holdings
BLMN,10.92,22.42,125993,pre,2026-08-05,up,Bloomin' Brands Inc
BTG,4.07,4.63,428527,pre,2026-08-05,up,B2Gold Corp
BV,11.8,-10.06,247512,post,2026-08-04,down,Brightview Holdings Inc
CDE,17.14,5.74,163450,pre,2026-08-05,up,Coeur Mining Inc
COMP,13.45,12.08,661528,post,2026-08-04,up,Compass Inc Cl A
CPNG,15.68,-6.56,256301,pre,2026-08-05,down,Coupang Cl A
CPNG,15.56,-7.26,1800815,post,2026-08-04,down,Coupang Cl A
DFNS,60.28,27.28,752853,pre,2026-08-05,up,T3 Defense Inc
DT,50.34,10.13,168489,pre,2026-08-05,up,Dynatrace Inc
DVA,213,-6.57,312280,post,2026-08-04,down,Davita Healthcare Partners
ECHO,87.46,-4.52,148006,post,2026-08-04,down,Echostar Corp
EGHT,2.07,-7.64,146003,post,2026-08-04,down,8X8 Inc
ELAN,26.69,4.26,224882,post,2026-08-04,up,Elanco Animal Health Inc
EOSE,3.75,-13.83,7369195,pre,2026-08-05,down,Eos Energy Enterprises Inc
