Symbol,Last,ChgPct,Volume,Session,SessionDate,Direction,Name
AAOI,90,-4.58,411625,pre,2026-08-03,down,"Applied Optoelect"
ADEA,25.01,-9.99,276508,post,2026-08-03,down,"Adeia Inc"
AMC,2.97,5.32,6408328,pre,2026-08-03,up,"AMC Entertainment Holdings"
AMKR,47.53,-4.69,104050,pre,2026-08-03,down,"Amkor Technology"
AMRC,28.24,24.22,116018,post,2026-08-03,up,"Ameresco Inc"
ARM,229.21,-4.37,106788,pre,2026-08-03,down,"Arm Holdings Plc ADR"
ATKR,93.4,28.02,1484380,pre,2026-08-03,up,"Atkore Inc"
AXTI,56.59,-6.35,554514,pre,2026-08-03,down,"Axt Inc"
AZN,156.94,-7.49,746647,pre,2026-08-03,down,"Astrazeneca Plc"
BE,197.23,-4.17,708504,pre,2026-08-03,down,"Bloom Energy Corp Cl A"
BIOA,9.53,5.42,128998,pre,2026-08-03,up,"Bioage Labs Inc"
BLZE,18.25,17.06,593761,post,2026-08-03,up,"Backblaze Inc Cl A"
CLPT,13,-15.47,236467,post,2026-08-03,down,"Clearpoint Neuro Inc"
CNH,11.4,11.19,538042,pre,2026-08-03,up,"CNH Industrial N.V."
COUR,5.54,4.33,167756,pre,2026-08-03,up,"Coursera Inc"
CRCL,58.71,-6.23,1450832,pre,2026-08-03,down,"Circle Internet Group Cl A"
CRGY,11.93,4.37,138723,post,2026-08-03,up,"Crescent Energy Company Cl A"
CRTO,22.26,4.18,2678449,post,2026-08-03,up,"Criteo S.A. ADR"
DDD,3,6.01,409693,post,2026-08-03,up,"3D Systems Corp"
DFNS,42.06,51.95,1250539,pre,2026-08-03,up,"T3 Defense Inc"
DFNS,49.57,-19.4,510678,post,2026-08-03,down,"T3 Defense Inc"
DOCN,133,4.58,191007,post,2026-08-03,up,"Digitalocean Holdings Inc"
DXST,2.99,32.35,4319095,post,2026-08-03,up,"Decent Holding Inc"
EDBL,2.73,17.17,14466770,pre,2026-08-03,up,"Edible Garden Ag Inc"
EDBL,2.1,-7.89,382896,post,2026-08-03,down,"Edible Garden Ag Inc"
EWTX,41.2,7.35,126830,post,2026-08-03,up,"Edgewise Therapeutics Inc"
FCEL,20.7,-4.21,132292,pre,2026-08-03,down,"Fuelcell Energy Inc"
FCUV,15.5,33.62,5173901,pre,2026-08-03,up,"Focus Universal Inc"
FCUV,10.94,-4.87,169761,post,2026-08-03,down,"Focus Universal Inc"
FERG,251.61,7.37,101813,pre,2026-08-03,up,"Ferguson Enterprises Inc"
GME,20.46,-5.8,1825344,pre,2026-08-03,down,"Gamestop Corp"
GNPX,4.9,-18.2,1869936,pre,2026-08-03,down,"Genprex Inc"
GNPX,5.11,7.58,469754,post,2026-08-03,up,"Genprex Inc"
GRAB,3.82,4.14,1711658,post,2026-08-03,up,"Grab Holdings Ltd Cl A"
HKIT,2.73,-9.9,178900,pre,2026-08-03,down,"Hitek Global Inc Ordinary Share"
HYFM,3.1,474.07,72917588,pre,2026-08-03,up,"Hydrofarm Holdings Group Inc"
ICHR,71.99,-10.27,142106,post,2026-08-03,down,"Ichor Holdings Ltd"
INHD,13.52,-24.89,457948,pre,2026-08-03,down,"Inno Holdings Inc"
INHD,8.3,-11.89,115416,post,2026-08-03,down,"Inno Holdings Inc"
JDZG,4,-33.44,120758,pre,2026-08-03,down,"Jiade Limited"
KOS,2.55,-5.2,637206,pre,2026-08-03,down,"Kosmos Energy Ltd"
LFS,2.26,-5.04,148229,pre,2026-08-03,down,"Leifras Co. Ltd ADR"
LIFE,26.3,15.2,165028,post,2026-08-03,up,"Ethos Technologies Inc Cl A"
MODD,2.49,4.18,147152,pre,2026-08-03,up,"Modular Medical Inc"
MU,785.08,-4.61,3408593,pre,2026-08-03,down,"Micron Technology"
NEXR,3.31,-6.23,503194,pre,2026-08-03,down,"Nexera Technologies Ltd"
NUAI,4.41,-5.36,126530,pre,2026-08-03,down,"New Era Energy & Digital Inc"
ON,86.33,7.38,2053495,post,2026-08-03,up,"On Semiconductor"
PLTR,144.45,14.97,24598870,post,2026-08-03,up,"Palantir Technologies Cl A"
POWL,188.22,-14.34,219396,post,2026-08-03,down,"Powell Industries Inc"
RAIN,3.85,143.67,8768730,post,2026-08-03,up,"Rain Enhancement Technologies Holdco Inc Cl A"
RUBI,2.44,9.42,3511835,pre,2026-08-03,up,"Rubico Inc"
SAP,191.93,4.53,137510,pre,2026-08-03,up,"SAP Ag ADR"
SGLY,5,-4.4,2124387,pre,2026-08-03,down,"Singularity Future Technology Ltd"
SKYQ,4.29,-7.74,394023,pre,2026-08-03,down,"Sky Quarry Inc"
SNAP,5.4,7.17,23867364,post,2026-08-03,up,"Snap Inc"
SNDK,1161.78,-4.37,1109546,pre,2026-08-03,down,"Sandisk Corp"
SOC,5.05,-4.54,227569,pre,2026-08-03,down,"Sable Offshore Corp"
SRAD,11.68,-19.67,390016,pre,2026-08-03,down,"Sportradar Group Ag Cl A"
SUPN,50.04,12.12,101252,pre,2026-08-03,up,"Supernus Pharm"
TE,4.44,6.47,1683361,pre,2026-08-03,up,"T1 Energy Inc"
TE,5.16,4.45,1166399,post,2026-08-03,up,"T1 Energy Inc"
UMC,17.55,-7.78,654115,pre,2026-08-03,down,"United Microelectronics Corp ADR"
