Symbol,Last,ChgPct,Volume,Session,SessionDate,Direction,Name
AAOI,129.2,17.23,2118788,pre,2026-08-04,up,Applied Optoelect
ADEA,25.01,-9.99,276508,post,2026-08-03,down,Adeia Inc
ALAB,342.5,6.68,174907,pre,2026-08-04,up,Astera Labs Inc
AMD,507.4,4.7,725203,pre,2026-08-04,up,Adv Micro Devices
AMKR,54.2,6.61,145958,pre,2026-08-04,up,Amkor Technology
AMRC,28.24,24.22,116018,post,2026-08-03,up,Ameresco Inc
ASTS,66.67,4.96,484906,pre,2026-08-04,up,Ast Spacemobile Inc
AXTI,63.76,-7.15,2373630,pre,2026-08-04,down,Axt Inc
BLZE,18.25,17.06,593761,post,2026-08-03,up,Backblaze Inc Cl A
CAT,904.88,9.02,147040,pre,2026-08-04,up,Caterpillar Inc
CIFR,22.03,-8.82,1535051,pre,2026-08-04,down,Cipher Digital Inc
CLPT,13,-15.47,236467,post,2026-08-03,down,Clearpoint Neuro Inc
COHR,341.35,18.47,734387,pre,2026-08-04,up,Coherent Corp
CRDO,232.02,6.26,144721,pre,2026-08-04,up,Credo Technology Group Holding
CRGY,11.93,4.37,138723,post,2026-08-03,up,Crescent Energy Company Cl A
CRML,6.7,4.98,197170,pre,2026-08-04,up,Critical Metals Corp
CRTO,22.26,4.18,2678449,post,2026-08-03,up,Criteo S.A. ADR
DDD,3,6.01,409693,post,2026-08-03,up,3D Systems Corp
DFNS,56,-8.94,292881,pre,2026-08-04,down,T3 Defense Inc
DFNS,49.57,-19.4,510678,post,2026-08-03,down,T3 Defense Inc
DOCN,114.01,-10.35,231656,pre,2026-08-04,down,Digitalocean Holdings Inc
DOCN,133,4.58,191007,post,2026-08-03,up,Digitalocean Holdings Inc
DXST,2.78,23.01,5886205,pre,2026-08-04,up,Decent Holding Inc
DXST,2.99,32.35,4319095,post,2026-08-03,up,Decent Holding Inc
EDBL,2.04,-10.32,144964,pre,2026-08-04,down,Edible Garden Ag Inc
EDBL,2.1,-7.89,382896,post,2026-08-03,down,Edible Garden Ag Inc
EWTX,41.2,7.35,126830,post,2026-08-03,up,Edgewise Therapeutics Inc
FCUV,12.28,6.79,220650,pre,2026-08-04,up,Focus Universal Inc
FCUV,10.94,-4.87,169761,post,2026-08-03,down,Focus Universal Inc
FLNC,15.85,8.86,270520,pre,2026-08-04,up,Fluence Energy Inc Cl A
GFS,53.88,7.74,168912,pre,2026-08-04,up,Globalfoundries Inc
GLW,158.33,7.97,633718,pre,2026-08-04,up,Corning Inc
GNPX,5.11,7.58,469754,post,2026-08-03,up,Genprex Inc
GRAB,3.85,4.9,883971,pre,2026-08-04,up,Grab Holdings Ltd Cl A
GRAB,3.82,4.14,1711658,post,2026-08-03,up,Grab Holdings Ltd Cl A
HPE,52.6,4.7,287101,pre,2026-08-04,up,Hewlett Packard Enterprise
HUT,106.97,-4.56,192717,pre,2026-08-04,down,Hut 8 Corp
ICHR,71.99,-10.27,142106,post,2026-08-03,down,Ichor Holdings Ltd
INHD,6.8,-27.81,206665,pre,2026-08-04,down,Inno Holdings Inc
INHD,8.3,-11.89,115416,post,2026-08-03,down,Inno Holdings Inc
INTC,95.33,4.76,2587363,pre,2026-08-04,up,Intel Corp
KC,13,9.24,115663,pre,2026-08-04,up,Kingsoft Cloud Holdings Ltd ADR
LIFE,26.3,15.2,165028,post,2026-08-03,up,Ethos Technologies Inc Cl A
LITE,886,13.61,377760,pre,2026-08-04,up,Lumentum Holdings
LPL,3.23,5.21,145746,pre,2026-08-04,up,Lg Display Company Ltd ADR
LWLG,7.66,12.28,142926,pre,2026-08-04,up,Lightwave Logic Inc
MP,46.11,5.18,109914,pre,2026-08-04,up,MP Materials Corp
MRVL,210.75,8.76,1477547,pre,2026-08-04,up,Marvell Technology Inc
MXL,72.19,7.57,221606,pre,2026-08-04,up,Maxlinear Inc
NOK,9.84,5.13,6264669,pre,2026-08-04,up,Nokia Corp ADR
NVTS,12.29,6.72,367371,pre,2026-08-04,up,Navitas Semiconductor Corp
ON,85.8,6.72,164616,pre,2026-08-04,up,On Semiconductor
ON,86.33,7.38,2053495,post,2026-08-03,up,On Semiconductor
PLTR,144.51,15.01,4053007,pre,2026-08-04,up,Palantir Technologies Cl A
PLTR,144.45,14.97,24598870,post,2026-08-03,up,Palantir Technologies Cl A
POET,8.3,12.77,2437875,pre,2026-08-04,up,Poet Technologies Inc
POWL,188.22,-14.34,219396,post,2026-08-03,down,Powell Industries Inc
RAIN,3.85,143.67,8768730,post,2026-08-03,up,Rain Enhancement Technologies Holdco Inc Cl A
SATL,4.23,6.95,231150,pre,2026-08-04,up,Satellogic Inc Cl A
SNAP,5.29,4.96,1353142,pre,2026-08-04,up,Snap Inc
SNAP,5.4,7.17,23867364,post,2026-08-03,up,Snap Inc
SNDK,1351.25,4.91,628464,pre,2026-08-04,up,Sandisk Corp
SPOT,464.3,-4.53,311829,pre,2026-08-04,down,Spotify Technology S.A.
TE,5.18,4.76,587552,pre,2026-08-04,up,T1 Energy Inc
TE,5.16,4.45,1166399,post,2026-08-03,up,T1 Energy Inc
UMC,20.05,7.28,422872,pre,2026-08-04,up,United Microelectronics Corp ADR
UPC,5.6,-13.58,191734,pre,2026-08-04,down,Universe Pharmaceuticals Inc
VOYG,32.36,15.53,211610,post,2026-08-03,up,Voyager Technologies Inc Cl A
WDC,557.78,5.8,106381,pre,2026-08-04,up,Western Digital Corp
WGS,73.5,8.31,354803,post,2026-08-03,up,Genedx Holdings Corp
WOLF,26.2,7.6,186193,pre,2026-08-04,up,Wolfspeed Inc
VRTX,470.29,-0.09,1450928,headline,2026-08-04,down,Vertex Pharmaceuticals Incorporated
WMB,71.25,1.16,7450032,headline,2026-08-04,up,"The Williams Companies, Inc."
OKE,88.38,0.16,3583726,headline,2026-08-04,up,"ONEOK, Inc."
FANG,196.5,-1.13,2159662,headline,2026-08-04,down,"Diamondback Energy, Inc."
TKO,187.12,1.75,1808621,headline,2026-08-04,up,"TKO Group Holdings, Inc."
EC,16.68,0.46,2372165,headline,2026-08-04,up,Ecopetrol S.A.
SBAC,179.54,0.0,1600088,headline,2026-08-04,up,SBA Communications Corporation
STRL,584.94,-4.34,1212490,headline,2026-08-04,down,"Sterling Infrastructure, Inc."
VNOM,43.69,0.0,1597363,headline,2026-08-04,up,"Viper Energy, Inc."
JAZZ,256.5,1.96,1333109,headline,2026-08-04,up,Jazz Pharmaceuticals plc
BWXT,169.89,-2.24,972823,headline,2026-08-04,down,"BWX Technologies, Inc."
CLX,98.63,0.37,3259821,headline,2026-08-04,up,The Clorox Company
