--- TOP LONGS ---
NCRA   82.52% | Vol: 21453502 | Type: ? | Cat: 
AMIX   58.91% | Vol: 15009348 | Type: news | Cat: SEC 揭露 85.7 萬股認股權登記、潛在募資 490 萬美元,低流通投機買盤盤前暴漲 65%
VIVK   49.74% | Vol: 15767331 | Type: contract | Cat: 新增原油採購合約年化貢獻 $7.09 億(8/1 生效),激勵股價 +30.4%
DFNS   41.54% | Vol:  3601070 | Type: momentum | Cat: 1:125 反向分割使流通股縮至 112 萬股,疊加國防合約消息,連兩日暴衝 +42.8%
STFS   34.71% | Vol:  2114495 | Type: news | Cat: CFO 關係人揭露以 $1.30/股增持 200 萬股 B 股,低流通盤帶動炒作 +34.7%
VRRM   29.67% | Vol:  1246753 | Type: contract | Cat: 與 Avis Budget 簽 7 年電子收費/違規處理新約,盤後 +26.3%
GMM    29.22% | Vol:  1444926 | Type: earnings | Cat: Q2 營收年增 49.4% 至 $2,000 萬,雖淨損擴大仍激勵股價 +37.3%
EGG    27.03% | Vol:  1337780 | Type: momentum | Cat: 查無個股新聞;成交量達日均量約 80 倍,盤後急拉 +27%
SKYQ   20.97% | Vol:  2785986 | Type: momentum | Cat: Foreland 煉油廠重啟產能爬升,空單佔流通股 10.25% 引發軋空 +13.4%
PCSA   13.77% | Vol:  4295468 | Type: M&A | Cat: 收購 Vidya 旗下 BTK 抑制劑 VT-7208,同步私募約 $2 億,盤前 +13.8%
TER    13.15% | Vol:   308471 | Type: earnings | Cat: Q2 營收 $13.29 億年增 104%、調整後 EPS $2.47 勝估 $2.11,盤後 +12.8%
BE     12.69% | Vol:  4208098 | Type: earnings | Cat: Q2 營收 $10.65 億年增 165%、非 GAAP EPS $0.78 勝估 $0.42,全年指引上修至 $39-42 億
GEHC    9.97% | Vol:   277758 | Type: earnings | Cat: Q2 調整後 EPS $1.13 勝估 $1.04,有機訂單年增 11.1%、backlog $239 億創高,盤前 +8.9%
AVTR    9.90% | Vol:  1073343 | Type: earnings | Cat: Q2 營收 $16.9 億超預期、EPS $0.21 勝估 $0.19,並上修全年展望,盤前 +4.7%
HAYW    8.47% | Vol:   206651 | Type: earnings | Cat: Q2 調整後 EPS $0.27、EBITDA $9,220 萬,確認全年指引帶動 +6.0%
GNRC    8.44% | Vol:        0 | Type: earnings | Cat: Q2 調整後 EPS $2.91 遠超估 $1.95,上修全年 EBITDA 利潤率至 20-21%(前 18.5-19.5%)
LFUS    8.15% | Vol:        0 | Type: earnings | Cat: Q2 營收 $7.38 億勝估 $7.03 億、調整後 EPS $4.19 勝估 $3.77,上修 Q3 指引至 $4.85-5.05
GFS     8.10% | Vol:   206210 | Type: news | Cat: 加入 DOE Genesis Mission、擴大 Apple 無線合作,逆亞洲半導體賣壓 +8.1%
IOTR    7.54% | Vol:   105267 | Type: earnings | Cat: CEO 致股東信揭露 FY26 營收年增 40% 至 $1,470 萬,盤後 +7.5%
LVWR    7.18% | Vol:   369519 | Type: earnings | Cat: Q2 營收年增 55% 至 $910 萬、電動車交付增 386%,S4/Dust 收購激勵 +9.8%
APH     7.06% | Vol:        0 | Type: earnings | Cat: Q2 營收 $88 億年增 55%(有機 +30%)、調整後 EPS $1.35 年增 67%,訂單 $107 億創高、B/B 1.23
GRMN    6.61% | Vol:        0 | Type: earnings | Cat: Q2 EPS $2.81 勝估 $2.30、營收 $20.2 億超預期,全年 EPS 展望大幅上修至 $10.00
STX     6.60% | Vol:   945411 | Type: earnings | Cat: FQ4 營收 $36.3 億超估 4%、EPS $5.71 勝共識 12%,下季指引 EPS $7.30,盤後 +6.6%
EQNR    6.11% | Vol:   186805 | Type: ? | Cat: 
TEVA    5.78% | Vol:   394965 | Type: earnings | Cat: 排除 Emalex 一次性費用後 EPS 約 $0.63 優於預期,全年非 GAAP EPS 指引上調至 $1.91-2.11
JCI     5.64% | Vol:        0 | Type: earnings | Cat: FQ3 調整後 EPS $1.42 勝估 $1.32、營收 $66 億,全年調整後 EPS 指引上修至約 $5.05
KOS     5.56% | Vol:   370948 | Type: momentum | Cat: 朱比利油田日產逾 8.5 萬桶、8/3 將公布 Q2,提前布局買盤 +5.5%
VG      5.51% | Vol:   151565 | Type: ? | Cat: 
F       5.41% | Vol:  6954664 | Type: earnings | Cat: Q2 調整後 EPS $0.42 超預期,上修全年調整後 EBIT 指引;認列 $36 億 Blue Oval SK 特別費用致 GAAP 虧損
WTI     5.35% | Vol:   101239 | Type: ? | Cat: 

--- TOP SHORTS ---
STKH  -28.61% | Vol:  3231327 | Type: news | Cat: 7/27 一拆三反向 ADS 分割生效,7/28 炒作衝 $3.60 後回落逾 30%
INLF  -21.13% | Vol:   241881 | Type: momentum | Cat: 7 月 1:200 反向分割後動能退潮,自高點 $9.91 階梯式破底 -19.8%
FVRR  -17.77% | Vol:   142143 | Type: earnings | Cat: Q2 營收年減 10% 至 $9,780 萬、年活躍買家年減 21.9% 至 270 萬,全年營收指引砍至 $3.56-3.72 億
BIYA  -17.23% | Vol:  4926234 | Type: momentum | Cat: 1-for-10 反向分割後低流通籌碼股,連日暴漲後獲利了結 -17.2%
CLVT  -17.08% | Vol:   855165 | Type: earnings | Cat: Q2 營收 $5.873 億年減 5.5%,認列 $2.217 億商譽減損致淨損 $2.686 億,盤前 -15%
AAUC  -17.03% | Vol:   540226 | Type: ? | Cat: 
BTU   -16.82% | Vol:   167705 | Type: ? | Cat: 
LMND  -15.47% | Vol:   166725 | Type: ? | Cat: 
SLXN  -15.10% | Vol:   604746 | Type: news | Cat: 5 月 1:10 反向分割後 6 月增發 85.96 萬股,稀釋疑慮延續 -10.8%
CSGP  -14.70% | Vol:   165939 | Type: earnings | Cat: Q2 營收 $9.25 億低於共識 $9.47 億,全年營收指引自 $37.8-38.2 億下修至 $37.15-37.55 億、Q3 成長減速至 +13%
OI    -13.36% | Vol:   182410 | Type: earnings | Cat: Q2 EPS 僅 $0.09 遠低於預期 $0.24,下修全年及 2027 目標,盤後 -13.4%
LOGI  -11.34% | Vol:   108595 | Type: earnings | Cat: FQ1 營收 $12.3 億超預期,惟 Q2 展望僅 0-3% 增長、Q3 估減 2 億瑞郎,盤後 -11.3%
